candidateId,value
630665b8594e18004af05038,Universidad Católica Los Ángeles De Chimbote
630665b8594e18004af0503f,Universidad Nacional Pedro Ruiz Gallo - Unprg
630665b8594e18004af05047,Cibertec
630665b8594e18004af05057,Senati
630665b8594e18004af0505d,Universidad De San Martin De Porres - Usmp
630665b8594e18004af05064,Upn
630665b8594e18004af0506a,Instituto Ifb Certus
630665b8594e18004af05073,Universidad Tecnologica Del Peru
630665b8594e18004af0507f,Senati
630665b8594e18004af05085,Universidad Nacional De La Amazonia Peruana
630665b8594e18004af0509a,Universidad Católica Sedes Sapientiae
630665b8594e18004af0509a,Cet N° 34
630665b8594e18004af050a1,Universidad Católica Sedes Sapientiae
630665b8594e18004af050a7,Instituto Sise
630665b8594e18004af050ae,Telesup
630665b8594e18004af050b7,Instituto De Formación Bancaria - Ifb
630665b8594e18004af050c1,Cepeban
630665b8594e18004af050c8,Universidad Privada Del Norte
630665b8594e18004af050ce,Itae
630665b8594e18004af050d4,Instituto Cibertec
630665b8594e18004af050dd,San Juan Bosco De Huanuco
630665b8594e18004af050e4,Juan Bosco De Huánuco
630665b8594e18004af050eb,Instituto San Juan Sullana
630665b8594e18004af050f2,Ifb- Certus
630665b8594e18004af050f2,Iep. San Carlos
630665b8594e18004af050fa,Instituto Privado Certus
630665b8594e18004af05101,Adminitracion
630665b8594e18004af05109,Instituto Superior Sise
630665b8594e18004af05110,Senati
630665b8594e18004af05110,Estudios Secundarios
630665b8594e18004af05119,Universidad Privada Del Norte
630665b8594e18004af05119,Cibertec
630665b8594e18004af05123,Unmsm
630665b8594e18004af05129,Instituto Superior Tecnologico Privado Blaise Pascal
630665b8594e18004af0513b,Juan Pablo Peregrino
630665b8594e18004af05142,Cepeban
630665b8594e18004af05149,Universidad De San Martin De Porres
630665b8594e18004af0514f,Certus
630665b8594e18004af05156,Instituto De Educación Superior Tecnológico Privado De Formación Bancaria
630665b8594e18004af0515d,Universidad Privada Del Norte
630665b8594e18004af05165,Ifb Certus
630665b8594e18004af0516d,Universidad De Ciencias Aplicadas
630665b8594e18004af0516d,Instituto De Formación Bancaria - Ifb
630665b8594e18004af05179,Universidad Privada San Juan Bautista
630665b8594e18004af05179,Centro De Idiomas De La Catolica
630665b8594e18004af05184,Certus
630665b8594e18004af0518c,Instituto Fibonacci
630665b8594e18004af05192,Universidad San Ignacio De Loyola - Usil
630665b8594e18004af05192,Instituto Beta
630665b8594e18004af05192,Isil
630665b8594e18004af0519c,Universidad Nacional De La Amazonia Peruana
630665b8594e18004af051a4,Instituto Certus
630665b8594e18004af051ab,Universidad Nacional De Tumbes
630665b8594e18004af051b3,Universida Nacional De La Amazonia Peruana
630665b8594e18004af051ba,Universidad Privada Del Norte
630665b8594e18004af051c2,Isam
630665b8594e18004af051c8,Instituto La Pontificia
630665b8594e18004af051cf,Idat
630665b8594e18004af051cf,Ábaco
630665b8594e18004af051de,Administración De Empresas
630665b8594e18004af051de,I.e Virgen Dolorosa
630665b8594e18004af051e5,Universidad Privada Del Norte - Upn
630665b8594e18004af051e5,Icpna
630665b8594e18004af051ec,Senati
630665b8594e18004af051f8,Computron
630665b8594e18004af051ff,Universidad Autónoma Del Perú
630665b8594e18004af05206,Instituto San Ignacio De Loyola
630665b8594e18004af0520c,Idat
630665b8594e18004af05215,Universidad Científica Del Sur
630665b8594e18004af05220,Universidad Católica Sede Sapientiae
630665b8594e18004af05227,Certus
630665b8594e18004af0522e,Ucv
630665b8594e18004af05235,Certus
630665b8594e18004af05235,Ifb
630665b8594e18004af05240,Idat
630665b8594e18004af05247,Etsunp
630665b8594e18004af0524e,Universidad Norbert Wiener
630665b8594e18004af0525c,Instituto Continental
630665b8594e18004af0525c,Institución Educativa Simón Bolívar
630665b8594e18004af05267,Certus
630665b8594e18004af0526f,Universidad Andina Néstor Cáceres Velásquez - Uancv
630665b8594e18004af0526f,Universidad Andina Néstor Cáceres Velásquez - Uancv
630665b8594e18004af0527b,Instituto Superior Tecnologico Privado Urusayhua
630665b8594e18004af05282,Universidad Peruana De Ciencias Aplicadas.
630665b8594e18004af05289,Universidad Cesar Vallejo
630665b8594e18004af05289,I.e.s.t.p. Juanjui
630665b8594e18004af05289,San Marcos 00503
630665b8594e18004af05294,Universidad San Ignacio De Loyola
630665b8594e18004af05294,Trilce - Los Olivos
630665b8594e18004af0529e,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af0529e,Saco Oliveros
630665b8594e18004af052a6,Universidad Autónoma Del Perú
630665b8594e18004af052ad,Universidad Privada Del Norte
630665b8594e18004af052b5,Universidad Tecnologica Del Perú
630665b8594e18004af052b5,Universidad Nacional De Ingenieria
630665b8594e18004af052ca,Universidad La Salle
630665b8594e18004af052d1,Cetpro - Computec Millenium - Chosica
630665b8594e18004af052de,Instituto De Formación Bancaria - Ifb
630665b8594e18004af052ec,Universidad Nacional Del Altiplano
630665b8594e18004af052f2,Adventista Miraflores
630665b8594e18004af052f9,Universidad Tecnológica Del Perú
630665b8594e18004af052f9,Icpna
630665b8594e18004af05303,Universidad Privada Del Norte
630665b8594e18004af05309,Cepea
630665b8594e18004af0530f,Universidad Nacional De Tumbes
630665b8594e18004af05317,Universidad Andina Del Cusco
630665b8594e18004af05320,Universidad Privada De Tacna
630665b8594e18004af0532c,Universidad Nacional Del Callao - Unac
630665b8594e18004af05336,Universidad Tecnologica Del Peru
630665b8594e18004af0533d,I.e.s.t.p Lurin
630665b8594e18004af05354,Universidad Peruana Los Andes
630665b8594e18004af05360,Instituto De Educación Superior Privado Certus
630665b8594e18004af05360,Instituto De Educación Superior Privado Certus
630665b8594e18004af05360,Instituto Global Pacífic
630665b8594e18004af05360,Instituto Global Pacífic
630665b8594e18004af0536c,Robert Owen
630665b8594e18004af05375,Sise
630665b8594e18004af05375,Universidad Andina Néstor Caceres Velázquez
630665b8594e18004af05388,Instituto De Formación Bancaria - Ifb
630665b8594e18004af05390,Ifb Certus
630665b8594e18004af05397,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af05397,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af053a0,Universidad Nacional De La Amazonia Peruana - Unap
630665b8594e18004af053a8,Ipae
630665b8594e18004af053b1,Universidad San Ignacio De Loyola
630665b8594e18004af053b1,Universidad Peruana Cayetano Heredia
630665b8594e18004af053b1,Cimas
630665b8594e18004af053be,Universidad Continental
630665b8594e18004af053c5,Certus
630665b8594e18004af053ce,Universidad Nacional Del Callao
630665b8594e18004af053d9,Certus
630665b8594e18004af053df,Instituto Privado Certus
630665b8594e18004af053f3,Universidad De Lima
630665b8594e18004af053f3,Santa Maria Eufrasia
630665b8594e18004af053fb,Universidad Peruana De Ciencias Aplicadas - Upc
630665b8594e18004af053fb,Centro Peruano De  Estudios Bancarios - Cepeban
630665b8594e18004af05407,Isil
630665b8594e18004af0540e,Instituto Cultural Britanico
630665b8594e18004af0540e,Universidad Privada Del Norte
630665b8594e18004af05418,Certus
630665b8594e18004af05421,Universidad Peruana De Ciencias Aplicadas - Upc
630665b8594e18004af05427,Instituto Superior Tecnológico Público Cap.  Fap. José Abelardo Quiñones
630665b8594e18004af05431,Idat
630665b8594e18004af05449,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af05451,Zegel Ipae
